expiry,n_options,mean_implied_vol,median_implied_vol,mean_vega
2026-06-30,8,0.3277058986794087,0.3170581557058729,64.56364476816314
2026-08-21,7,0.31354269883189606,0.310376450338494,92.46216041769765
2026-09-18,1,0.3372168536375277,0.3372168536375277,67.13054051390692
2026-12-31,7,0.3040903815143742,0.3013114170982502,136.67270296849458
2027-01-15,1,0.3219441766786389,0.3219441766786389,98.80880202918905
2027-03-31,1,0.3061991237311624,0.3061991237311624,128.3641725000278
2027-06-17,7,0.2966025407798987,0.2950959504264407,176.99917363417174
2028-01-21,8,0.2960629966560052,0.2946079704402015,213.53884551616142
2028-06-16,9,0.290994490943073,0.2899433809506707,236.15439254308274
2028-12-15,15,0.2895279107376622,0.2896952908919192,255.5860241412802
